Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
NHS Blood & Transplant,Special Health Authority,Department of Health,2048,1656,1137,1037,1590,1464,576,560,64,62,49,46,5464,4825,50,50,2,2,11,11,0,0,63,63,5527,4888,"£13,951,684","£808,827",£0,"£487,645","£1,955,444","£1,558,912","£18,762,512.66","£1,282,719",,"£1,282,718.75","£20,045,231.41",
NHS Business Services Authority,Special Health Authority,Department of Health,1866,1649.14,677,643.63,461,451.53,242,229.4,65,63.54,,,3311,3037.24,66,66,,,,,28,28,94,94,3405,3131.24,"£6,876,456","£15,331","£111,920","£129,692","£863,887","£707,515","£8,704,800.73","£511,765",,"£511,764.99","£9,216,565.72",
NHS England,Special Health Authority,Department of Health,95,84.33201,972,910.99048,1548,1488.79112,2956,2846.26582,824,780.48207,157,78.56267,6552,6189.42417,238,227.89,78,39.93413,,,,,316,267.82413,6868,6457.2483,"£29,119,506",,,,"£3,671,108","£3,403,387","£36,193,999.64","£1,856,138",,"£1,856,137.94","£38,050,137.58",
NHS Litigation Authority,Special Health Authority,Department of Health,8,7,62,60.46,140,135.38,158.5,149.9599,8,8,0,0,376.5,360.7999,15,14.8,0,0,0,0,0,0,15,14.8,391.5,375.5999,"£1,398,707","£160,693",£0,"£1,477","£182,634","£172,475","£1,915,986.07","£95,730",,"£95,730.48","£2,011,716.55",
NHS Trust Development Authority,Special Health Authority,Department of Health,8,7.6,144,139.23334,258,250.38666,739,711.66159,398,382.94987,4,3.8,1551,1495.63146,,,,,,,,,0,0,1551,1495.63146,"£7,711,999","£402,850",,"£134,599","£1,050,198","£991,328","£10,290,974.00","£453,377",,"£453,376.91","£10,744,350.91",
Public Health England,Executive Agency,Department of Health,781,666.89307,772,701.71691,2238,1992.73207,1579,1496.8088,428,360.21666,6,3,5804,5221.36751,127,99.17,0,0,44,28.1,0,0,171,127.27,5975,5348.63751,"£14,400,060","£7,454,107",£0,"£789,654","£4,466,032","£2,430,454","£29,540,307.00","£1,165,726",,"£1,165,726.02","£30,706,033.02","Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included in the Non-payroll staff figures."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) - Missing / Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
