Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
Legal Services Board,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,33,32.7,33,32.7,0,0,0,0,0,0,0,0,0,0,33,32.7,154977,0,0,0,31427,18704,205108,0,0,0,205108,
Legal Services Commission,Executive Non-Departmental Public Body,Ministry of Justice,655,613.3,256,245.1,397,381.8,96,94.4,18,13.1,1,0.7,1423,1348.4,91,87.98,0,0,5,4,0,0,96,91.98,1519,1440.38,3222868,0,0,115102,0,294109,3632079,9001,0,9001,3641080,
Parole Board,Executive Non-Departmental Public Body,Ministry of Justice,20,19.6,47,45.8,16,15.6,6,6,1,1,1,0.4,91,88.4,2,2,0,0,0,0,0,0,2,2,93,90.4,189805.8,20313.23,0,7295.66,36647.29,17800.01,271861.99,24254.99,0,24254.99,296116.98,
Probation Trusts x35,Executive Non-Departmental Public Body,Ministry of Justice,0,0,0,0,0,0,0,0,0,0,20048,18178,20048,18178,1584,1584,11,11,0,0,0,0,1595,1595,21643,19773,(..),(..),(..),(..),(..),(..),(..),(..),(..),(..),(..),The 35 probation trusts are independent bodies that are contracted to provide probation services to NOMS. They have their own grading structure which is not directly translatable to the Civil Service grades. All payroll probation staff have therefore been
Youth Justice Board for England & Wales,Executive Non-Departmental Public Body,Ministry of Justice,23,20.78,41,39.93,112,109.94,37,36.1,5,4.6,9,9,227,220.35,6,6,0,0,16,15.8,0,0,22,21.8,249,242.15,1207137.18,24744,168,4320,122606.34,57866.36,1416841.88,84409.21,0,84409.21,1501251.09,
MoJ Total,,,54194,50622.01,15575,14622.12,11143,10508.23,2769,2684.65,286,276.36,20521,18620.42,104488,97333.79,2410,2596.77,37,36,150,148.8,0,0,2597,2781.57,107085,100115.36,174265334.7,894794.43,-123294.739,1054431.8,31865033.39,13714467.64,220687068,3882487.76,-883968.93,2998518.83,223685586.8

Key ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
