Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Economic & Social Research Council,ESRC,"Department for Business, Innovation & Skills",15,12.53,37,35.29,76,72.1,17,16.91,3,2.95,,,148,140,1,1,,,,,,,1,1,149,141,"£377,369.00","£1,888.00","£4,874.00",,"£94,658.00","£28,618.00","£507,407.00","£1,606.50",,"£1,606.50","£509,013.50",
Engineering & Physical Sciences Research Council,EPSRC,"Department for Business, Innovation & Skills",35,33.34,32,29.67,132,124.05,29,27.51,3,3,,,231,218,3,3,,,4,4,,,7,7,238,225,"£595,644.00","£14,214.00",£975.00,"£2,078.00","£152,069.00","£44,989.00","£809,969.00","£32,365.58",,"£32,365.58","£842,334.58",
Engineering Construction Industry Training Board,ECITB,"Department for Business, Innovation & Skills",21,18,31,27,19,19,5,5,,,2,0.012,78,69,0,0,,,,,,,0,0,78,69,"£240,827.00","£17,583.00",£0.00,£0.00,"£63,237.00","£23,035.00","£344,682.00",£0.00,,£0.00,"£344,682.00",
Higher Education Funding Council for England,HEFCE,"Department for Business, Innovation & Skills",27,22.38,15,13.53,147,128.41,69,62.73,33,31.64,,,291,259,4,4,,,3,3,,,7,7,298,266,"£849,586.26","£2,068.75",,"£1,672.95","£161,163.95","£73,192.32","£1,087,684.23","£45,750.88",,"£45,750.88","£1,133,435.11",
Insolvency Service,IS,"Department for Business, Innovation & Skills",550,512.4907,251,236.3435,676,648.9149,86,85.6275,6,5.7838,,,"1,569","1,489",130,130,,,23,23,,,153,153,"1,722","1,642","£3,807,483.22","£10,421.37",£0.00,"£2,364.44","£715,237.65","£297,974.35","£4,833,481.03","£487,274.53",£0.00,"£487,274.53","£5,320,755.56",
Medical Research Council,MRC,"Department for Business, Innovation & Skills",344,323.7,471,448.7,1382,1359.4,175,169.2,107,103.1,72,61.2,"2,551","2,465",16,16,19,19,3,3,0,0,38,38,"2,589","2,503","£7,090,876.00","£466,908.00",£0.00,"£30,675.00","£861,277.00","£636,345.00","£9,086,081.00","£425,611.00",£0.00,"£425,611.00","£9,511,692.00",
National Measurement Office,NMO,"Department for Business, Innovation & Skills",5,3.83,21,20.76,36,35.01,20,18.07,0,0,0,0,82,78,,,,,,,,,0,0,82,78,"£249,030.76",£178.75,"£3,575.00",,"£47,556.04","£20,652.44","£320,992.99",,£0.00,£0.00,"£320,992.99",
Natural Environment Research Council,NERC,"Department for Business, Innovation & Skills",264,235.8,440,414.1,1176,1125.9,366,354.2,23,22.5,311,305.5,"2,580","2,458",10,9.7,,,1,1,,,11,10.7,"2,591","2,469","£6,782,395.29","£243,623.83","£18,983.34","£32,087.44","£1,671,134.25","£548,884.24","£9,297,108.39","£146,632.41",,"£146,632.41","£9,443,740.80",
Office for Fair Access,OFA,"Department for Business, Innovation & Skills",0,0,0,0,13,12.68,4,3.3,2,1.6,0,0,19,18,2,2,0,0,0,0,3,3,5,5,24,23,"£54,228.72",£0.00,£0.00,£690.56,"£4,701.68","£9,102.67","£68,723.63","£5,760.68","£6,306.40","£12,067.08","£80,790.71",
Science & Technology Facilities Council,STFC,"Department for Business, Innovation & Skills",130,125.6,257,245.17,1037,1020.53,346,338.42,31,28.28,38,38,"1,839","1,796",14,14,0,0,67,67,0,0,81,81,"1,920","1,877","£5,343,921.06","£205,344.40","£198,738.73","£101,696.93","£1,376,339.02","£496,162.82","£7,722,202.96","£280,080.89",£0.00,"£280,080.89","£8,002,283.85",
Skills Funding Agency ,SFA,"Department for Business, Innovation & Skills",77,72.51,22,21.53,658,641.44,103,102.65,26,25,,,886,863,17,17,,,40,40,,,57,57,943,920,"£2,886,710.47","£72,088.61","£1,620.00","£2,570.43","£583,707.69","£259,672.02","£3,806,369.22","£374,410.00",£0.00,"£374,410.00","£4,180,779.22",
Student Loans Company Ltd,SLCL,"Department for Business, Innovation & Skills",1904,1777.4296,732,699.63024,107,103.7728,16,16,8,8,6,0.853333333,"2,773","2,606",38,38,0,0,17,17,0,0,55,55,"2,828","2,661","£4,802,496.65","£172,459.49","£10,226.15","£208,207.82","£760,658.07","£365,449.68","£6,319,497.86","£253,050.73","£10,185.00","£263,235.73","£6,582,733.59",
Technology Strategy Board,TSB,"Department for Business, Innovation & Skills",,,57,57,57,57,165,165,5,5,2,2,286,286,21,21,,,,,,,21,21,307,307,"£1,089,203.22","£163,041.63",,,"£266,606.52","£120,315.78","£1,639,167.15","£195,505.30",,"£195,505.30","£1,834,672.45",
UK Commission for Employment & Skills,UKCES,"Department for Business, Innovation & Skills",27,26.3,9,9,64,62.4,12,11.6,6,6,,,118,115,,,,,,,,,0,0,118,115,"£359,212.86",,,,"£69,031.03","£30,522.23","£458,766.12",,,£0.00,"£458,766.12",
UK Intellectual Property Office,UKIPO,"Department for Business, Innovation & Skills",244,218.92,288,273.33,300,292.9,242,228.26,27,26.55,,,"1,101","1,040",7,7,,,20,20,,,27,27,"1,128","1,067","£2,752,755.00","£119,007.00","£24,612.00","£94,802.00","£571,870.00","£260,589.00","£3,823,635.00","£362,402.00",,"£362,402.00","£4,186,037.00",
UK Space Agency,UKSA,"Department for Business, Innovation & Skills",0,0,6,6,24,24,25,24.2,6,5.6,0,0,61,60,0,0,0,0,3,2.4,0,0,3,2.4,64,62,"£203,872.16","£4,733.41",£0.00,£0.00,"£40,107.24","£17,344.39","£266,057.20","£7,612.00",£0.00,"£7,612.00","£273,669.20",
United Kingdom Atomic Energy Authority,UKAEA,"Department for Business, Innovation & Skills",53,50.72,96,93.91,380,376.07,128,125.62,11,10.6,20,20,688,677,4,4,0,0,470,470,0,0,474,474,"1,162","1,151","£2,443,946.00",£0.00,"£114,133.00","£43,463.00","£351,362.00","£233,674.00","£3,186,578.00","£1,679,695.00",£0.00,"£1,679,695.00","£4,866,273.00",Allowances are included within Salary Costs. Performance Payments are accrued through the year for payment once a year.
Ordnance Survey ,OS,"Department for Business, Innovation & Skills",30,26.74,556,542.34,447,439.25,171,168.6,5,5,4,0.97,"1,213","1,183",43,43,4,4,62,62,,,109,109,"1,322","1,292","£3,305,890.00","£94,241.00","£7,852.00","£13,524.00","£647,408.00","£280,836.00","£4,349,751.00","£902,828.70",,"£902,828.70","£5,252,579.70",
Met Office,MO,"Department for Business, Innovation & Skills",,,,,,,,,1,1,2055,1978.1,"2,056","1,979",56,56,,,14,14,,,70,70,"2,126","2,049","£5,423,328.00","£331,618.00",£0.00,"£161,473.00","£1,107,614.00","£463,632.00","£7,487,665.00","£454,073.00",£0.00,"£454,073.00","£7,941,738.00",
