Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
Engineering Construction Industry Training Board,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",19,16,36,34,19,19,5,5,,,1,0.006,80,74,,,,,,,,,0,0,80,74,"£255,795.00","£21,554.00",£0.00,£0.00,"£62,499.00","£26,316.00","£366,164.00",,,£0.00,"£366,164.00",,
Engineering and Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",39,36.36,35,33.03,136,127.62,31,29.62,4,4,,,245,231,,,,,2,2,,,2,2,247,233,"£620,143.87","£12,600.84","£18,250.00",£860.00,"£158,607.73","£43,847.92","£854,310.36","£17,190.36",,"£17,190.36","£871,500.72",,
Economic and Social Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",18,15,33,31.76,79,75.28,18,17.91,2,1.95,,,150,142,2,2,,,,,,,2,2,152,144,"£371,797.09","£3,076.72","£1,000.00",,"£94,344.26","£27,164.83","£497,382.90","£2,705.04",,"£2,705.04","£500,087.94",,
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",25,21,6,6,157,140,76,69,30,29,0,0,294,265,13,12,,,1,1,,,14,13,308,278,"£872,214.81","£2,212.00",,"£3,981.82","£180,071.60","£75,653.77","£1,134,134.00","£30,459.17","£19,302.11","£49,761.28","£1,183,895.28",Some of the consultants costs include cost of project managing Bristol Office move project.,
Insolvency Service,Executive Agency,"Department for Business, Innovation and Skills",523,485.6327,234,220.5668,652,624.5412,92,91.8378,7,6.6757,0,0,"1,508","1,429",125,125,,,19,19,,,144,144,"1,652","1,573","£3,665,214.24","£8,385.60",£0.00,"£3,828.54","£737,645.96","£283,604.57","£4,698,678.91","£654,509.58",,"£654,509.58","£5,353,188.49",,The agency costs are up due to aligning of accruals as invoices had not been received or paid relating to previous months.
Land Registry,Non-Ministerial Department,"Department for Business, Innovation & Skills",252,230.88,2108,1841.26,1741,1598.94,180,166.6,13,13,,,"4,294","3,851",0,0,27,27,,,,,27,27,"4,321","3,878","£9,395,611.41","£209,192.37",£965.32,"£390,174.61","£1,989,099.39","£729,842.64","£12,714,885.74","£501,058.92",,"£501,058.92","£13,215,944.66",Agreed overtime to address operations backlog.,
Met Office,Executive Agency,"Department for Business, Innovation and Skills",0,0,0,0,0,0,0,0,0,0,2147,2063.3,"2,147","2,063",138,138,0,0,0,0,0,0,138,138,"2,285","2,201","£5,566,732.00","£413,462.00",£0.00,"£161,033.00","£1,227,957.00","£472,397.00","£7,841,581.00","£669,461.00",£0.00,"£669,461.00","£8,511,042.00",,"The Met Office does not have grades, but has generic roles."
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",244,224.7,400,382.1,1079,1056.6,140,133.3,88,83.1,24,13.2,"1,975","1,893",4,4,19,19,3,3,0,0,26,26,"2,001","1,919","£5,608,661.00","£342,392.00",£0.00,"£10,443.00","£721,141.00","£489,268.00","£7,171,905.00","£603,299.00",,"£603,299.00","£7,775,204.00",,
Natural Environment Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",228,205.8,386,362.27,1037,998.94,326,312.1,22,21.45,538,527.62,"2,537","2,428",8,8,,,1,1,,,9,9,"2,546","2,437","£6,772,309.61","£173,854.64","£7,400.00","£26,065.91","£1,693,722.67","£549,382.75","£9,222,735.58","£243,811.79","£1,512.00","£245,323.79","£9,468,059.37",,
National Measurement and Regulation Office,Executive Agency,"Department for Business, Innovation and Skills",5,4.29,19,18.26,39,37.68,14,12.9,0,0,3,0.1,80,73,3,2.1,,,,,,,3,2.1,83,75,"£242,119.67",£146.25,"£23,870.00",£0.00,"£49,866.76","£23,175.52","£339,178.20","£5,051.62",,"£5,051.62","£344,229.82",,
Office for Fair Access,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",0,0,2,1.5,13,12.2,5,4.5,2,1.6,0,0,22,20,1,1,0,0,0,0,0,0,1,1,23,21,"£57,281.67",£0.00,£0.00,£0.00,"£11,748.27","£5,490.23","£74,520.17","£2,833.63",£0.00,"£2,833.63","£77,353.80",,
Skills Funding Agency,Executive Agency,"Department for Business, Innovation and Skills",95,90.65,0,0,686,667.03,95,94.95,26,25,,,902,878,19,19,0,0,41,41,,,60,60,962,938,"£2,877,188.29","£80,164.58",£0.00,£441.63,"£619,794.23","£254,791.47","£3,832,380.20","£603,220.00",,"£603,220.00","£4,435,600.20",,
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",1957,1834.075573,828,793.7369067,24,24,20,19.4,0,0,7,0.96,"2,836","2,672",26,26,0,0,18,18,,,44,44,"2,880","2,716","£4,779,845.83","£163,609.92","£23,815.82","£157,930.18","£528,974.59","£363,126.17","£6,017,302.51","£82,406.51",,"£82,406.51","£6,099,709.02",,
Science and Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",145,139.49,273,261.03,1082,1057.74,347,336.96,34,32.78,51,51,"1,932","1,879",5,5,,,60,60,,,65,65,"1,997","1,944","£5,534,920.42","£259,338.15","£245,743.25","£84,725.71","£1,406,180.79","£509,333.81","£8,040,242.13",,"£216,909.05","£216,909.05","£8,257,151.18",,
Technology Strategy Board (Innovate UK),Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",,,60,60,47,47,197,197,8,8,,,312,312,9,9,,,,,,,9,9,321,321,"£1,223,449.45","£41,641.15",,,"£296,999.02","£128,654.38","£1,690,744.00",£0.00,,£0.00,"£1,690,744.00",,
United Kingdom Atomic Energy Authority,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",53,50.32,95,92.57,371,366.16,133,129.6,9,9,21,21,682,669,4,4,0,0,381,381,0,0,385,385,"1,067","1,054","£2,367,526.00",£0.00,"£71,959.00","£15,234.00","£342,493.00","£241,441.00","£3,038,653.00","£1,308,793.00",,"£1,308,793.00","£4,347,446.00",Allowances included within salary. Performance payments are acrued during the year for payment.,
UK Commission for Employment and Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",22,22,16,15.6,54,52.1,14,13.8,5,5,,,111,109,1,1,0,0,2,2,,,3,3,114,112,"£355,844.09",£0.00,£0.00,£0.00,"£66,728.27","£30,758.54","£453,330.90","£17,373.77",,"£17,373.77","£470,704.67",,
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation and Skills",240,216.38,347,331.01,318,309.24,249,233.87,27,26.55,,,"1,181","1,117",9,9,,,28,28,,,37,37,"1,218","1,154","£2,883,156.00","£133,470.00","£9,771.00","£75,839.00","£649,202.00","£248,374.00","£3,999,812.00","£424,437.00",,"£424,437.00","£4,424,249.00",,
UK Space Agency,Executive Agency,"Department for Business, Innovation and Skills",3,3,5,5,29,28.6,31,29.88,5,4.7,0,0,73,71,1,1,,,1,0.4,,,2,1.4,75,73,"£250,547.67","£2,898.73","£38,310.00",£205.73,"£52,827.12","£27,278.51","£372,067.76","£3,809.40",,"£3,809.40","£375,877.16",,Within the staff on payroll are included 1.4 FTE inward secondees from industry and academia (whose pay costs are met by UKSA). UKSA benefited from further 3 FTE inward secondees provided at nil cost as part of their personal development - these FTEs were excluded from this return to avoid double counting by home departments. 1 FTE started in the period whose costs are yet to be transferred from another GD (this will be backdated in October 2015).
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
