Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)",,,
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,2,2,7,6.72,4,4,1,1,,,18,18,,,,,,,1,1,1,1,19,19,"£63,409.12",,,,"£13,664.14","£7,035.65","£84,108.91",,"£3,225.00","£3,225.00","£87,333.91",,,,
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",15,13.54,37,34.45,82,77.53,16,15.72,1,1.00,,,151,142.24,,,,,,,,,0,0,151,142,"£396,180.69","£2,437.08",£900.00,£530.89,"£102,355.10","£36,254.48","£538,658.24",,,£0.00,"£538,658.24",,,,
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",70,65.49,37,34.83,150,141.79,37,35.06,4,4.00,0,0.00,298,281.17,0,0.00,0,0.00,1,1.00,0,0.00,1,1,299,282,"£743,002.16","£13,220.77","£10,400.00","£2,651.26","£194,076.71","£71,607.87","£1,034,958.77","£1,826.82",£0.00,"£1,826.82","£1,036,785.59",,,,
HM Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",725,697.71,2130,1853.65,1743,1589.53,210,195.69,16,16,0,0,"4,824","4,352.58",0,0,26,26.00,0,0.00,0,0,26,26,"4,850","4,379","£10,354,368.20","£227,155.91","£5,824.76","£888,554.28","£2,170,525.39","£1,161,539.82","£14,807,968.36","£98,118.91","£73,460.63","£171,579.54","£14,979,547.90",,,,
Innovate UK,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,44,44.00,68,68.00,177,177.00,10,10.00,0,0.00,299,299.00,18,18.00,0,0.00,0,0.00,0,0.00,18,18,317,317,"£1,173,027.42","£228,307.48",£0.00,£0.00,"£288,536.19","£162,718.75","£1,852,589.84","£95,947.04",£0.00,"£95,947.04","£1,948,536.88",,,,
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",488,453.71,194,186.29,661,632.29,117,114.01,10,10.00,0,0.00,"1,470","1,396.30",46,46.00,0,0.00,5,5.00,0,0.00,51,51,"1,521","1,447","£3,723,886.00","£8,309.00","£3,000.00","£16,898.00","£789,981.00","£385,517.00","£4,927,591.00","£598,503.00",£0.00,"£598,503.00","£5,526,094.00",Increase due to the transfer of CET from BEIS.,,,
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",186,166.55,388,364.43,302,293.60,274,256.41,25,25.00,,,"1,175","1,105.99",28,28.00,,,6,6.00,,,34,34,"1,209","1,140","£3,062,380.00","£139,944.00","£15,135.00","£51,271.00","£690,531.00","£419,178.00","£4,378,439.00","£200,408.00",,"£200,408.00","£4,578,847.00",,,,
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",215,197.00,328,313.00,894,875.00,123,118.00,83,78.00,31,19.00,"1,674","1,600.00",8,8.00,20,20.00,2,2.00,0,0.00,30,30,"1,704","1,630","£4,990,025.00","£332,098.00",£0.00,"£13,504.00","£648,821.00","£560,690.00","£6,545,138.00","£349,549.00",£0.00,"£349,549.00","£6,894,687.00",,,,
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,"2,089","1,998.80","2,089","1,998.80",12,8.50,0,0.00,39,36.10,5,4.00,56,49,"2,145","2,047","£5,534,631.00","£284,538.00","£591,250.00","£176,261.00","£1,212,814.00","£692,741.00","£8,492,235.00","£419,535.00",£0.00,"£419,535.00","£8,911,770.00",,,,
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",235,202.20,414,386.10,"1,199","1,142.40",362,344.60,23,22.70,220,217.80,"2,453","2,315.80",8,7.70,0,0.00,2,2.00,0,0.00,10,10,"2,463","2,326","£7,014,554.28","£261,735.12","£27,514.36","£31,562.25","£1,807,856.20","£750,113.29","£9,893,335.50","£105,093.19",£0.00,"£105,093.19","£9,998,428.69",,,,
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,218,208.94,218,209,4,4,26,26,2,2,,,32,32,250,241,"£1,173,191.00","£86,164.00","£343,944.00",,"£244,377.00","£212,757.00","£2,060,433.00","£294,964.00",,"£294,964.00","£2,355,397.00",,,,
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",153,146.16,268,258.79,"1,142","1,113.88",394,378.42,39,37.28,54,54.00,"2,050","1,988.53",4,4.00,0,0.00,32,32.00,0,0.00,36,36,"2,086","2,025","£6,110,640.00","£359,271.10",£0.00,"£100,691.10","£1,574,067.00","£700,345.75","£8,845,014.95","£141,418.24",£0.00,"£141,418.24","£8,986,433.19",,,,
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",56,52.39,84,80.21,434,427.11,153,148.50,10,10.00,25,25.00,762,743.21,4,4.00,0,0.00,349,349.00,,,353,353,"1,115","1,096","£2,478,837.09",                   -   ,"    98,088.04 ","    41,780.04 ","  278,050.52 ","  312,067.84 ","£2,478,837.09",,"£1,505,249.95","£1,505,249.95","£3,984,087.04",,,,
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",2,2,5,5,39,35.95,45,43.24,7,5.1,0,0,98,91,4,4,,,5,4.75,,,9,8.75,107,100,"£327,059.65","£4,980.81","£3,650.00",£0.00,"£68,685.57","£36,935.78","£441,311.81","£58,249.51",£0.00,"£58,249.51","£499,561.32",,,,
