Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Companies House,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",475,416,259,247,140,137,32,31,4,4,,,910,835,3,3,,,,,20,20,23,23,933,858,"£1,829,427.40","£40,406.67","£1,099,951.29","£40,068.38","£383,222.44","£327,217.62","£3,720,293.80","£8,896.51","£183,119.37","£192,015.88","£3,912,309.68",
Competition Service,Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",4,4,1,1,7,6.6,4,4,1,1,,,17,16.6,,,,,,,,,0,0,17,16.6,"£58,711.83",,£500.00,,"£12,706.38","£6,568.24","£78,486.45",,,£0.00,"£78,486.45",
Construction Industry Training Board (CITB)**,Executive non-departmental public body,Department for Education (DfE),428,396.8,571,557.6,295,289.6,19,19,4,4,0,0,1317,1267,60,45.5,1,0.4,74,45.3,2,2,137,93.2,1454,1360.2,"£3,183,562.92","£158,816.94","£1,016.80","£39,784.49","£390,111.99","£323,547.09","£4,096,840.23","£438,104.50","£4,312.00","£442,416.50","£4,539,256.73",
Economic & Social Research Council (ESRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",11,9.15,33,29.85,74,70.05,16,15.91,2,2,,,136,126.96,,,,,,,,,0,0,136,126.96,"£357,883.12","£3,193.29",£500.00,,"£90,761.78","£36,456.46","£488,794.65",,,£0.00,"£488,794.65",
Engineering Construction Industry Training Board (ECITB)**,Executive non-departmental public body,Department for Education (DfE),20,17,41,39,19,19,5,5,,,,,85,80,,,,,,,,,0,0,85,80,"£270,327.00","£20,234.00",£0.00,£253.00,"£57,627.00","£29,640.00","£378,081.00",,,£0.00,"£378,081.00",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",42,39.1,31,30.35,139,130.41,32,30.72,4,4,,,248,234.58,,,,,1,1,,,1,1,249,235.58,"£652,514.05","£11,605.92","£36,192.00",£574.13,"£168,397.75","£67,742.05","£937,025.90","£2,256.66",,"£2,256.66","£939,282.56",
Higher Education Funding Council for England (HEFCE)**,Executive non-departmental public body,Department for Education (DfE),28,24,10,9,164,150,95,85,33,32,,,330,300,15,14,,,,,,,15,14,345,314,"£979,775.39","£10,611.20",£0.00,£728.31,"£198,127.70","£104,082.59","£1,293,325.19","£116,930.21",£0.00,"£116,930.21","£1,410,255.40",
Innovate UK / Technology Strategy Board (TSB),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,47,47,54,54,183,183,7,7,,,291,291,10,10,,,,,,,10,10,301,301,"£1,146,679.78","£189,171.79",,,"£281,803.65","£158,969.30","£1,776,624.52","£79,096.05",,"£79,096.05","£1,855,720.57",
Insolvency Service,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",463,428.01,176,167.56,601,573.30,101,100.07,7,7,0,0,1348,1275.9467,97,97,,,8,8,,,105,105,1453,1380.9467,"£3,406,232","£10,536",£0,"£1,846","£718,050","£345,919","£4,482,582.05","£381,170.99",,"£381,170.99","£4,863,753.04",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",213,189.09,350,330.74,297,289.03,264,245.98,26,26,,,1150,1080.84,21,21,,,21,21,,,42,42,1192,1122.84,"£2,939,413.00","£179,411.00","£13,155.00","£33,309.00","£653,101.00","£413,632.00","£4,232,021.00","£435,479.00",,"£435,479.00","£4,667,500.00",
Land Registry,Non-ministerial department,"Department for Business, Energy & Industrial Strategy (BEIS)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",243,227,345,329,990,969,135,129,83,79,31,20,1827,1753,7,7,23,23,3,3,0,0,33,33,1860,1786,"£5,147,456.00","£318,654.00",£0.00,"£7,648.00","£698,553.00","£561,198.00","£6,733,509.00","£351,710.00",£0.00,"£351,710.00","£7,085,219.00",
Met Office,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,2203,2116.8,2203,2116.8,7,5.97297,,,72,71.197,,,79,77.16997,2282,2193.96997,"£5,739,618.00","£342,039.00","£7,500.00","£144,430.00","£1,266,865.00","£638,415.00","£8,138,867.00","£562,618.00",,"£562,618.00","£8,701,485.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",246,218,447,418.4,1189,1137.4,356,337.5,23,22.5,226,223,2487,2356.8,5,5,,,2,2,,,7,7,2494,2363.8," £6,673,432.96 ","£248,424.98","£51,527.47","£16,599.25","£1,714,084.35","£696,674.83","£9,400,743.84","£84,561.69",£0.00,"£84,561.69","£9,485,305.53",
Nuclear Decommissioning Authority (NDA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",,,,,,,,,,,212,204.62,212,204.62,2,2,27,27,4,4,,,33,33,245,237.62,"£1,111,569.00","£58,946.00","£224,654.00",,"£234,550.00","170,000.00","£1,799,719.00","£250,000.00",,"£250,000.00","£2,049,719.00",
Office for Fair Access (OFFA)**,Executive non-departmental public body,Department for Education (DfE),,,3,3,14,12.6,5,5,1.6,1.6,0,0,23.6,22.2,,,,,,,,,0,0,23.6,22.2,"£68,768.56",£0.00,£0.00,£501.86,"£13,027.73","£7,125.98","£89,424.13",,,£0.00,"£89,424.13",
Oil & Gas Authority (OGA),Other,"Department for Business, Energy & Industrial Strategy (BEIS)",11,10.26,10,9.92,65,63.67,46,46,7,6.9,,,139,136.75,3,3,0,0,14,13,0,0,17,16,156,152.75,"£519,983.29","£98,849.84","£28,813.29",£156.59,"£119,549.14","£75,635.10","£842,987.25","£163,040.75","£3,709.82","£166,750.57","£1,009,737.82",
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",143,137,287,275.9,1109,1085.92,381,366.74,36,34.78,119,119,2075,2019.34,7,7,,,77,77,,,84,84,2159,2103.34,"£6,017,704.47","£299,295.49","£57,196.00","£74,718.46","£1,532,678.08","£682,044.90","£8,663,637.40","£335,826.59",,"£335,826.59","£8,999,463.99",
Skills Funding Agency (SFA)**,Executive agency,Department for Education (DfE),32,31.08,67,63.32,344,335.51,209,206.38,16,16,0,0,668,652.29,5,5,0,0,60,60,0,0,65,65,733,717.29,"2,082,114.72","29,601.85",0.00,0.00,"445,433.94","229,545.44","£2,786,695.95","520,317",0.00,"£520,317.00","£3,307,012.95",
Student Loans Company Ltd**,Executive non-departmental public body,Department for Education (DfE),2112,1995.76,706,670.03,139,135.69,18,18,5,5,9,1.17,2989,2825.65,10,10,0,0,24,24,0,0,34,34,3023,2859.65,"£5,063,594.41","£161,299.84","£907,035.44","£141,702.91","£537,991.49","£572,795.93","£7,384,420.02","£269,820.00",£0.00,"£269,820.00","£7,654,240.02",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Energy & Industrial Strategy (BEIS)",50,46.55,82,78.58,390,384.06,142,138.51,10,10,20,20,694,677.7,4,4,0,0,364,364,0,0,368,368,1062,1045.7,"£2,487,106.58",£0.00,"£126,505.15","£37,434.45","£357,004.78","£312,708.63","£3,320,759.59","£1,447,165.00",£0.00,"£1,447,165.00","£4,767,924.59",Allowances included within salary.
UK Commission for Employment & Skills (UKCES)**,Executive non-departmental public body,Department for Education (DfE),8,8,15,14.5,37,34.7,10,10,3,3,0,0,73,70.2,0,0,0,0,2,2,0,0,2,2,75,72.2,"£252,548.60",£0.00,£0.00,£0.00,"£51,459.65","£34,348.46","£338,356.71","£21,612.00",£0.00,"£21,612.00","£359,968.71",
UK Space Agency,Executive agency,"Department for Business, Energy & Industrial Strategy (BEIS)",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"* BEIS replaced the Department for Business, Innovation and Skills (BIS) and the Department of Energy and Climate Change (DECC) in July 2016. The department continued to report former BIS and DECC data separately until March 2017 as staff who moved departments due to the machinery of government changes were still on the payroll.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"** Responsibility for CITB, ECITB, HEFCE, OFFA, SFA, SLC & UKCES passed to DfE in July 2016 as part of the machinery of government changes. The department continued to report on these partner organisations until they were officially handed over.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*** UK Trade & Investment (UKTI) became the Department for International Trade (DIT) in July 2016.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
