Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
NHS Blood & Transplant,Special Health Authority,Department of Health,1969,1590,1127,1034.77,1608,1485,563,548,65,62.7,49,46,"5,381","4,766",25,25,1,1,9,9,0,0,35,35,"5,416","4,801","£13,455,075.88","£911,591.63",£0.00,"£184,261.88","£1,869,671.26","£1,474,383.00","£17,894,983.65","£135,844.60",,"£135,844.60","£18,030,828.25",,
NHS Business Services Authority,Special Health Authority,Department of Health,1868,1647.84,656,623.62,429,419.83,222,209.49,91,88.22,,,"3,266","2,989",96,96,,,,,30,30,126,126,"3,392","3,115","£6,263,914.20","£12,757.01","£108,105.40","£67,032.65","£1,274,295.55","£568,254.29","£8,294,359.10","£564,030.10",,"£564,030.10","£8,858,389.20",,
NHS England,Special Health Authority,Department of Health,439,394.4031,549,521.76,1473,1411.1847,2704,2598.7833,766,721.0016,171,89.5272,"6,102","5,737",311,303.29332,87,46.3208,,,,,398,349.61412,"6,500","6,086","£26,134,579.23",,,,"£3,269,329.52","£2,985,708.89","£32,389,617.64",,,£0.00,"£32,389,617.64",,"•Decrease in WTE of on payroll workers by 71.4 in Febuary; overall fixed term contracts decreased by 38.7 WTE compared to December 2019.

• There are a total of 398 off payroll workers. Of these there are 378 OPWs are recorded on ESR. There are 20 OPWs where we are awaiting information from these workers to be added on to ESR.

Decrease in pay expenditure appropriate with reduction of posts and banding in month for on payroll workers."
NHS Litigation Authority,Special Health Authority,Department of Health,11,10,59,56.56,130,125.14,148,139.26,8,8,,,356,339,17,16.6,,,,,,,17,16.6,373,356,"£1,259,599.20","£153,799.27",£0.00,"£5,692.48","£164,928.08","£158,962.73","£1,742,981.76",,,£0.00,"£1,742,981.76",,
NHS Trust Development Authority,Special Health Authority,Department of Health,11,9,161,153.59,272,261.64,618,590.63,502,481.53,32,30.5,"1,596","1,527",,,,,,,,,0,0,"1,596","1,527","£7,623,518.00","£374,536.00",£0.00,"£1,821.00","£994,394.00","£948,380.00","£9,942,649.00","£409,209.09",,"£409,209.09","£10,351,858.09",,
Public Health England,Executive Agency,Department of Health,767,672.76,760,709.28,2116,1977.02,1547,1450.5,402,351.85,4,4,"5,596","5,165",95,91.1,0,0,44,30.71,0,0,139,121.81,"5,735","5,287","£13,943,551.95","£5,334,024.56",£0.00,"£104,575.58","£4,351,890.94","£2,113,368.24","£25,847,411.27","£439,865.92",,"£439,865.92","£26,287,277.19","Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included in the Non-payroll staff figures.",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
