"address","col","row","template","lab"
"AD3",30,3,"template 202106","headcount"
"AE1",31,1,"template 202106","grand total workforce numbers full time equivalent"
"AE3",31,3,"template 202106","full time equivalent"
"AF1",32,1,"template 202106","payroll staff costs salary"
"AF1",32,1,"template 202106","payroll staff costs"
"AF2",32,2,"template 202106","salary"
"AG1",33,1,"template 202106","payroll staff costs allowances"
"AG2",33,2,"template 202106","allowances"
"AH1",34,1,"template 202106","payroll staff costs non consolidated performance payments"
"AH2",34,2,"template 202106","non consolidated performance payments"
"AI1",35,1,"template 202106","payroll staff costs overtime"
"AI2",35,2,"template 202106","overtime"
"AJ1",36,1,"template 202106","payroll staff costs employer pension contributions"
"AJ2",36,2,"template 202106","employer pension contributions"
"AK1",37,1,"template 202106","payroll staff costs employer national insurance contributions"
"AK2",37,2,"template 202106","employer national insurance contributions"
"AL1",38,1,"template 202106","payroll staff costs total paybill"
"AL2",38,2,"template 202106","total paybill for payroll staff"
"AM1",39,1,"template 202106","non payroll staff costs contingent labour agency staff interim managers and specialist contractors"
"AM1",39,1,"template 202106","non payroll staff contingent labour consultancy costs"
"AM2",39,2,"template 202106","total monthly cost of contingent labour agency staff interim managers and specialist contractors"
"AN1",40,1,"template 202106","non payroll staff costs consultants consultancy"
"AN2",40,2,"template 202106","total monthly cost of consultants consultancy"
"AO1",41,1,"template 202106","non payroll staff costs total staff costs"
"AO2",41,2,"template 202106","total non payroll ccl staff costs"
"AP1",42,1,"template 202106","grand total paybill staffing payroll and non payroll costs"
"A1",1,1,"template 202204","year"
"B1",2,1,"template 202204","month"
"C1",3,1,"template 202204","organisation name"
"D1",4,1,"template 202204","organisation type"
"E1",5,1,"template 202204","main parent or sponsoring department"
"F1",6,1,"template 202204","payroll staff ao aa headcount"
"G1",7,1,"template 202204","payroll staff ao aa full time equivalent"
"H1",8,1,"template 202204","payroll staff eo headcount"
"I1",9,1,"template 202204","payroll staff eo full time equivalent"
"J1",10,1,"template 202204","payroll staff seo heo headcount"
"K1",11,1,"template 202204","payroll staff seo heo full time equivalent"
"L1",12,1,"template 202204","payroll staff grade 6 7 headcount"
"M1",13,1,"template 202204","payroll staff grade 6 7 full time equivalent"
"N1",14,1,"template 202204","payroll staff scs headcount"
"O1",15,1,"template 202204","payroll staff scs full time equivalent"
"P1",16,1,"template 202204","payroll staff other unknown unspecified headcount"
"Q1",17,1,"template 202204","payroll staff other unknown unspecified full time equivalent"
"R1",18,1,"template 202204","payroll staff total headcount"
"S1",19,1,"template 202204","payroll staff total full time equivalent"
"T1",20,1,"template 202204","non payroll staff admin and clerical headcount"
"U1",21,1,"template 202204","non payroll staff admin and clerical full time equivalent"
"V1",22,1,"template 202204","non payroll staff interim managers specialist contractors medical headcount"
"W1",23,1,"template 202204","non payroll staff interim managers specialist contractors medical full time equivalent"
"X1",24,1,"template 202204","non payroll staff other contingent labour headcount"
"Y1",25,1,"template 202204","non payroll staff other contingent labour full time equivalent"
"Z1",26,1,"template 202204","non payroll staff total contingent labour headcount"
"AA1",27,1,"template 202204","non payroll staff total contingent labour full time equivalent"
"AB1",28,1,"template 202204","non payroll staff consultancy number of contracts"
"AC1",29,1,"template 202204","grand total workforce numbers headcount"
"AD1",30,1,"template 202204","grand total workforce numbers full time equivalent"
"AE1",31,1,"template 202204","payroll staff costs salary"
"AF1",32,1,"template 202204","payroll staff costs allowances"
"AG1",33,1,"template 202204","payroll staff costs non consolidated performance payments"
"AH1",34,1,"template 202204","payroll staff costs overtime"
"AI1",35,1,"template 202204","payroll staff costs employer pension contributions"
"AJ1",36,1,"template 202204","payroll staff costs employer national insurance contributions"
"AK1",37,1,"template 202204","payroll staff costs total paybill"
"AL1",38,1,"template 202204","non payroll staff costs contingent labour"
"AM1",39,1,"template 202204","non payroll staff costs consultancy"
"AN1",40,1,"template 202204","non payroll staff costs total staff costs"
"AO1",41,1,"template 202204","grand total paybill staffing payroll and non payroll costs"
