Organisation Name,Organisation Type,"Main, parent or sponsoring department",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
NHS Blood & Transport,Special Health Authority,Department of Health and Social Care,2060,1661.77,1232,1125.51,1692,1567.79,611,592.6,67,65.6,50,47.75,5712,5061.02,,,,,,,,,0,0,5712,5061.02,,,,,,,£0.00,"£3,218,007",,"£3,218,006.74","£3,218,006.74",
MHS Business Servises Authority,Special Health Authority,Department of Health and Social Care,1790,1580.37,731,695.77,507,496.61,258,244.5,69,67.14,,,3355,3084.39,82,82,,,,,25,25,107,107,3462,3191.39,"£7,089,673","£13,606","£109,836","£96,431","£903,842","£664,731","£8,878,119.54","£480,551",,"£480,551.03","£9,358,670.57",
NHS England,Special Health Authority,Department of Health and Social Care,94,83.78534,1134,1068.813,1822,1755.5551,3130,3008.69913,1226,1178.18721,191,92.95074,7597,7187.99052,158,150.15999,81,42.30746,0,0,0,0,239,192.46745,7836,7380.45797,"£32,479,394",0,0,0,"£4,189,946","£3,713,506","£40,382,847.17",,,£0.00,"£40,382,847.17",
NHS Litigation Authority,Special Health Authority,Department of Health,9,8,71,69.36,147,141.98,195,184.5226,9,9,0,0,431,412.8626,18,18,0,0,0,0,0,0,18,18,449,430.8626,"£1,549,010","£177,928",£0,"£2,115","£207,922","£191,642","£2,128,616.16",,,£0.00,"£2,128,616.16",
NHS Trust Development Authority,Special Health Authority,Department of Health and Social Care,9,8,71,69.36,147,141.98,195,184.5226,9,9,0,0,431,412.8626,18,18,0,0,0,0,0,0,18,18,449,430.8626,"£1,549,010","£177,928",£0,"£2,115","£207,922","£191,642","£2,128,616.16","£205,975",,"£205,975.39","£2,334,591.55",
Public Health England,Executive Agency,Department of Health and Social Care,853,707.71047,878,777.93202,2651,2298.66295,1862,1728.43295,473,395.7958,4,3.5,6721,5912.03419,165,142.6,0,0,46,28.6,0,0,211,171.2,6932,6083.23419,"£15,756,602","£8,519,946",£0,"£660,013","£5,065,115","£2,722,077","£32,723,751.82","£1,711,412",,"£1,711,412.34","£34,435,164.16","Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included in the Non-payroll staff figures."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(.) - Not applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(..) - Missing / Not available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
