Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Avergae No. of Payroll staff,,,,,,,,,,,,,,Average No. of Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Annual total of Payroll staff costs,,,,,,,Annual total of Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)","Notes for Cabinet Office
(Not for publication)"
Engineering Construction Industry Training Board,NDPB,BIS,19.4,16.4,36.7,34.3,19.3,19.3,5.1,5.1,0.0,0.0,1.2,0.0,81.6,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.6,75.0,"£3,087,040.00","£260,081.00","£40,538.00",£935.00,"£757,135.00","£314,902.00","£4,460,631.00",£0.00,£0.00,£0.00,"£4,460,631.00",,
Economic and Social Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",30.4,27.9,35.1,32.9,109.4,102.7,24.2,23.3,3.2,3.1,0.0,0.0,202.3,190.0,0.5,0.5,0.0,0.0,1.4,1.4,0.0,0.0,1.9,1.9,204.1,191.8,"£6,185,713.22","£114,704.61","£192,598.06","£15,169.51","£1,573,485.48","£471,357.83","£8,553,028.71","£105,615.18",£0.00,"£105,615.18","£8,658,643.89",,
Engineering and Physical Sciences Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",26.2,23.5,32.1,30.7,103.4,97.8,23.5,23.0,2.3,2.2,0.0,0.0,187.4,177.3,1.8,1.8,0.0,0.0,3.0,3.0,0.0,0.0,4.8,4.8,192.2,182.0,"£5,718,716.61","£95,706.60","£171,082.67","£10,944.34","£1,480,918.75","£448,107.67","£7,925,476.64","£135,357.46",£0.00,"£135,357.46","£8,060,834.10",,
Higher Education Funding Council for England,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",25.2,21.2,9.3,8.5,153.2,136.4,79.1,72.2,31.2,30.1,0.0,0.0,298.0,268.3,9.8,9.5,0.0,0.0,0.4,0.4,0.0,0.0,10.2,9.9,308.2,278.3,"£9,088,814.65","£23,901.43","£329,794.81","£24,742.10","£1,826,736.88","£814,034.71","£12,108,024.58","£469,534.26","£178,940.07","£648,474.33","£12,756,498.91",,
Insolvency Service,Executive Agency,"Department for Business, Innovation and Skills",520.3,481.8,230.9,217.7,654.8,627.1,90.9,90.8,7.3,6.9,0.0,0.0,1504.2,1424.2,109.9,109.9,0.0,0.0,19.5,19.5,6.2,6.2,135.6,135.6,1639.8,1559.9,"£44,064,094.06","£101,367.45",£0.00,"£46,912.94","£9,370,698.84","£3,815,577.47","£57,398,650.76","£5,640,467.70",£0.00,"£5,640,467.70","£63,039,118.46",,
Land Registry,Non-Ministerial Department,"Department for Business, Innovation & Skills",282.4,261.4,2158.8,1890.3,1735.8,1594.6,189.5,175.4,14.3,14.3,0.0,0.0,4380.7,3935.9,0.0,0.0,26.3,26.3,0.0,0.0,0.0,0.0,26.3,26.3,4406.9,3962.1,"£116,679,011.75","£2,593,007.85","£5,930,364.32","£4,631,757.86","£21,258,263.86","£9,841,830.71","£160,934,236.35","£5,765,029.86","£508,146.00","£6,273,175.86","£167,207,412.21",,
Met Office,Executive Agency,BIS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2141.5,2059.1,2141.5,2059.1,123.8,71.9,0.0,0.0,0.0,0.0,0.0,0.0,123.8,71.9,2265.3,2131.0,"£67,622,817.00","£4,378,147.00","£1,824,853.00","£2,015,238.00","£15,078,697.00","£6,214,197.00","£97,133,949.00","£7,451,103.00",£0.00,"£7,451,103.00","£104,585,052.00",,
Medical Research Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",239.3,220.5,394.7,376.8,1073.8,1050.4,139.4,133.0,88.8,83.8,26.1,13.7,1961.9,1878.2,4.2,4.2,16.8,16.8,3.1,3.1,0.0,0.0,24.0,24.0,1985.9,1902.2,"£67,213,597.00","£4,052,788.00",£0.00,"£171,440.00","£8,706,019.00","£6,007,100.00","£86,150,944.00","£5,348,072.00","£5,347.00","£5,353,419.00","£91,504,363.00",,
National Measurement and Regulation Office,Executive Agency,"Department for Business, Innovation and Skills",143.0,130.1,255.8,240.2,659.3,630.1,208.4,199.6,12.9,12.6,190.4,186.7,1469.8,1399.3,6.1,5.8,0.0,0.0,0.6,0.6,0.0,0.0,6.7,6.4,1476.5,1405.6,"£48,832,354.19","£1,619,803.42","£377,479.42","£223,646.87","£12,347,048.29","£4,022,636.17","£67,422,968.36","£662,968.19","£21,351.85","£684,320.04","£68,107,288.40",,
Natural Environment Research Council,Executive Non-Departmental Public Body,Dept for Business Innovation & Skills,108.3,96.2,192.3,180.3,505.8,483.6,134.8,128.2,9.9,9.7,176.8,174.1,1127.9,1072.1,3.5,3.4,0.0,0.0,0.8,0.8,0.0,0.0,4.3,4.2,1132.2,1076.3,"£35,516,747.99","£1,586,652.47","£183,892.38","£151,467.69","£8,812,558.72","£2,915,809.76","£49,167,129.01","£418,539.78","£49,624.34","£468,164.12","£49,635,293.13",,
Office for Fair Access,NDPB,BIS,0.0,0.0,2.0,1.6,12.8,11.4,4.9,4.5,2.0,1.6,0.1,0.0,21.9,19.1,1.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,1.4,1.3,23.3,20.4,"£784,246.38",£0.00,"£33,961.98","£6,189.07","£141,489.52","£69,804.16","£1,035,691.11","£36,285.20","£33,201.97","£69,487.17","£1,105,178.28",,
Science and Technology Facilities Council,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",112.8,108.0,113.7,108.9,851.1,830.4,212.4,207.2,29.4,28.5,23.9,23.9,1343.3,1306.8,13.7,13.7,0.0,0.0,39.8,39.8,22.9,22.9,76.4,76.4,1419.7,1383.2,"£48,592,921.10","£1,957,291.15","£959,333.59","£452,832.88","£11,923,165.14","£4,567,563.01","£68,453,106.87","£3,579,666.94","£1,997,558.00","£5,577,224.94","£74,030,331.81",,
Skills Funding Agency,Executive Agency,"Department for Business, Innovation and Skills",1156.1,1084.0,441.8,422.0,327.8,319.1,48.8,48.4,12.9,12.4,4.0,0.6,1991.5,1886.3,68.3,68.3,0.0,0.0,23.1,23.1,0.0,0.0,91.3,91.3,2082.8,1977.7,"£47,193,908.87","£1,481,994.94","£1,178,003.00","£1,042,677.19","£6,772,288.91","£3,863,460.51","£61,532,333.42","£4,678,771.89",£0.00,"£4,678,771.89","£66,211,105.31",,
Student Loans Company Ltd,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",920.8,866.8,449.6,429.0,654.4,639.8,209.9,203.8,21.8,20.7,33.1,30.9,2289.5,2191.1,7.6,7.6,0.0,0.0,41.6,41.6,0.0,0.0,49.3,49.3,2338.8,2240.4,"£62,585,279.99","£2,615,328.85","£474,228.58","£1,433,120.92","£12,445,740.93","£5,313,700.35","£84,867,399.62","£1,921,904.16","£401,571.05","£2,323,475.21","£87,190,874.83",,
Technology Strategy Board (Innovate UK),Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",0.0,0.0,57.6,57.6,49.9,49.9,193.9,193.9,7.4,7.4,0.3,0.3,309.1,309.1,12.3,12.3,0.0,0.0,0.0,0.0,0.0,0.0,12.3,12.3,321.4,321.4,"£15,279,977.23","£1,872,113.34",£0.00,£0.00,"£3,552,241.15","£1,576,424.46","£22,280,756.18","£953,919.90",£0.00,"£953,919.90","£23,234,676.08",,
United Kingdom Atomic Energy Authority,Executive NDPB,BIS,52.3,49.5,90.5,87.7,373.8,368.9,135.5,132.2,9.3,9.3,20.2,20.2,681.6,667.8,3.9,3.9,0.0,0.0,391.6,391.6,0.0,0.0,395.5,395.5,1077.1,1063.3,"£28,381,721.67",£0.00,"£880,643.90","£355,555.31","£4,083,708.57","£2,680,455.91","£36,382,085.36","£17,133,092.77",£0.00,"£17,133,092.77","£53,515,178.13",,
UK Commission for Employment and Skills,Executive Non-Departmental Public Body,"Department for Business, Innovation and Skills",20.2,20.0,15.8,15.4,54.5,52.5,13.8,13.6,4.9,4.9,0.0,0.0,109.2,106.4,1.1,1.1,0.0,0.0,2.3,2.1,0.0,0.0,3.3,3.2,112.5,109.5,"£4,299,403.32",£0.00,£0.00,£0.00,"£820,178.35","£380,750.74","£5,500,332.41","£174,722.80",£0.00,"£174,722.80","£5,675,055.21",,
UK Intellectual Property Office,Executive Agency,"Department for Business, Innovation and Skills",231.7,207.6,327.9,311.1,315.0,306.7,250.8,235.6,26.7,26.3,0.8,0.8,1152.9,1088.1,9.2,9.2,0.0,0.0,27.9,27.9,0.0,0.0,37.1,37.1,1190.0,1125.2,"£35,043,239.00","£1,580,712.00","£140,928.00","£918,874.00","£7,825,464.00","£3,189,418.00","£48,698,635.00","£4,834,332.00",£0.00,"£4,834,332.00","£53,532,967.00",,
UK Space Agency,Executive Agency,"Department for Business, Innovation and Skills",2.6,2.6,4.3,4.3,26.8,26.5,29.3,27.9,5.0,4.7,6.0,5.9,73.8,71.8,1.9,1.9,0.0,0.0,1.5,0.7,0.0,0.0,3.4,2.6,77.3,74.5,"£2,919,616.19","£35,661.58","£49,710.00","£2,553.49","£624,427.96","£258,992.33","£3,890,961.55","£146,871.88",£0.00,"£146,871.88","£4,037,833.43",,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,0,0,,,,,,,,,0,0,0,0,,,,,,,£0.00,,,£0.00,£0.00,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
