Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments,
NHS Blood & Transplant,Special Health Authority,Department of Health,1984,1583.46,1131,1029.33,1611,1477.78,561,544.86,64,60.7,47,44.4,"5,398","4,741",30,30,1,1,8,8,0,0,39,39,"5,437","4,780","£13,214,293.43","£855,823.52",£0.00,"£196,993.32","£1,855,805.31","£1,454,974.82","£17,577,890.40","£87,316.43",,"£87,316.43","£17,665,206.83",,
NHS Business Services Authority,Special Health Authority,Department of Health,1908,1681.64,648,616.04,398,390.57,220,207.16,80,78.04,,,"3,254","2,973",69,69,,,,,21,21,90,90,"3,344","3,063","£6,219,303.71","£12,714.65","£117,231.31","£81,385.51","£811,773.03","£563,463.93","£7,805,872.14","£203,647.02",,"£203,647.02","£8,009,519.16",,
NHS England,Special Health Authority,Department of Health,449,405.64977,562,533.71201,1525,1458.15439,2753,2643.2153,769,718.88156,170,88.52918,"6,228","5,848",292,283.01331,97,55.52347,,,,,389,338.53678,"6,617","6,187","£26,378,008.94",,,,"£3,345,121.17","£3,015,171.26","£32,738,301.37","£1,594,419.78",,"£1,594,419.78","£34,332,721.15",,
NHS Litigation Authority,Special Health Authority,Department of Health,12,11,54,51.56,130,125.14,140.5,131.7799,9,9,0,0,346,328,12,11.6,0,0,0,0,0,0,12,11.6,358,340,"£1,243,225.55","£150,827.93",£0.00,"£3,628.59","£160,704.19","£155,821.66","£1,714,207.92","£13,658.76",,"£13,658.76","£1,727,866.68",,
NHS Trust Development Authority,Special Health Authority,Department of Health,14,12.4,169,162.19,277,268.44,614,588.26,504,485.64,33,31.5,"1,611","1,548",,,,,,,,,0,0,"1,611","1,548","£7,663,621.00","£383,561.00",£0.00,£0.00,"£1,001,123.00","£950,629.00","£9,998,934.00","£226,686.82",,"£226,686.82","£10,225,620.82","A further 19 staff have transferred over from Monitor this month, as they have gone on to the Agenda for Change pay scales.",
Public Health England,Executive Agency,Department of Health,749,663.3,755,708.87,2101,1962.42,1531,1441.86,405,356.2,5,4,"5,546","5,137",77,74.8,0,0,37,24.81,0,0,114,99.61,"5,660","5,236","£14,797,749.98","£5,656,334.41",£0.00,"£77,042.23","£4,317,874.60","£2,135,484.39","£26,984,485.61","£529,741.00",,"£529,741.00","£27,514,226.61","Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included in the Non-payroll staff figures.","costs for off payroll workers is sent from PHE Finance to DH Finance on a different return
"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
