Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff,,,,,,,,,,,,,,Number of non-payroll staff (contingent labour and consultants/consultancy),,,,,,,,,,"Grand Total 
(workforce numbers)",,Payroll staff costs,,,,,,,Non-Payroll staff (contingent labour/consultancy) costs,,,Grand Total paybill/staffing (payroll and non-payroll) costs,"Comments
(NB: These will be published alongside your row of information)"
Engineering Construction Industry Training Board (ECITB),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",19,16,41,39,20,20,5,5,0,0,1,0.01,86,80.01,0,0,0,0,0,0,0,0,0,0,86,80,"£274,433.00","£21,328.00","£38,000.00",£256.00,"£58,302.00","£36,151.00","£428,470.00",£0.00,£0.00,£0.00,"£428,470.00",
Engineering & Physical Sciences Research Council (EPSRC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",42,39.31,31,30.35,140,130.06,31,29.91,3,3,0,0,247,232.63,1,1,0,0,4,4,0,0,5,5,252,238,"£649,212.68","£10,475.85","£4,973.00","£2,461.23","£166,436.91","£59,864.16","£893,423.83","£23,797.33",£0.00,"£23,797.33","£917,221.16",
Higher Education Funding Council for England (HEFCE),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",29,24.66,8,7.41,153,137.43,86,78.18,32,30.8,9,9,317,287.48,0,0,0,0,0,0,0,0,0,0,317,287,"£898,635.00","£2,844.00",£0.00,"£1,662.00","£185,625.00","£98,315.00","£1,187,081.00","£94,819.00",£0.00,"£94,819.00","£1,281,900.00",
Innovate UK / Technology Strategy Board (TSB),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",0,0,49,49,53,53,190,190,7,7,0,0,299,299,7,7,0,0,0,0,0,0,7,7,306,306,"£1,135,292.69","£93,207.77",£0.00,£0.00,"£292,809.39","£72,670.01","£1,593,979.86","£33,454.13",£0.00,"£33,454.13","£1,627,433.99",
Insolvency Service,Executive agency,"Department for Business, Innovation & Skills (BIS)",482,446.61,184,175.21,618,592.2,93,92.66,8,7.69,0,0,"1,385","1,314.37",93,93,0,0,18,18,0,0,111,111,"1,496","1,425","£3,632,721.07","£7,022.47",£0.00,"£1,909.34","£746,150.44","£368,814.18","£4,756,617.50","£413,565.28",£0.00,"£413,565.28","£5,170,182.78",
Intellectual Property Office (IPO),Executive agency,"Department for Business, Innovation & Skills (BIS)",216,192.44,355,336.65,304,294.14,257,240.17,26,26,0,0,"1,158","1,089.40",14,14,0,0,24,24,0,0,38,38,"1,196","1,127","£2,883,783.00","£136,389.00","-£18,483.00",£0.00,"£646,080.00","£262,914.00","£3,910,683.00","£250,671.00",£0.00,"£250,671.00","£4,161,354.00",Please note that these figures could change as an audit was being carried out at time of entry
Land Registry,Non-ministerial department,"Department for Business, Innovation & Skills (BIS)",300,279.6,"2,241","1,969.90","1,708","1,564.50",193,178.4,16,16,0,0,"4,458","4,008.40",0,0,15,15,0,0,0,0,15,15,"4,473","4,023","£9,869,492.52","£161,824.19","£5,763.57","£779,501.02","£2,076,378.36","£1,065,548.67","£13,958,508.33","£67,238.67",£0.00,"£67,238.67","£14,025,747.00",Includes 101 new apprentice starts
Medical Research Council (MRC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",224,206,370,353,"1,064","1,042.00",138,132,88,83,30,21,"1,914","1,837.00",7,7,19,19,3,3,0,0,29,29,"1,943","1,866","£5,961,246.00","£344,907.00",£0.00,"£13,638.00","£717,457.00","£669,069.00","£7,706,317.00","£210,286.00",£0.00,"£210,286.00","£7,916,603.00",
Met Office,Executive agency,"Department for Business, Innovation & Skills (BIS)",0,0,0,0,0,0,0,0,0,0,"2,177","2,094.70","2,177","2,094.70",109,76.2,0,0,0,0,0,0,109,76,"2,286","2,171","£5,667,349.00","£358,747.00",£0.00,"£176,616.00","£1,283,019.00","£638,832.00","£8,124,563.00","£607,000.00",£0.00,"£607,000.00","£8,731,563.00",
Natural Environment Research Council (NERC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",249,219,459,429,"1,189","1,137.60",368,348.7,22,21.5,225,223,"2,512","2,378.80",6,6,0,0,2,2,0,0,8,8,"2,520","2,387","£6,675,432.85","£317,057.12","£24,949.24","£36,192.40","£1,704,644.20","£705,236.44","£9,463,512.25","£44,830.60",£891.24,"£45,721.84","£9,509,234.09",
Office for Fair Access (OFFA),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",0,0,3,3,13,11.6,5,5,2,2,0,0,23,21.6,0,0,0,0,0,0,0,0,0,0,23,22,"£64,924.48",£0.00,£0.00,£961.92,"£12,693.70","£6,974.18","£85,554.28",£903.06,£0.00,£903.06,"£86,457.34",Agency staff costs are accrued from 2015-16
Science & Technology Facilities Council (STFC),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",147,141.21,274,262.94,"1,101","1,078.55",384,370.47,37,35.28,62,62,"2,005","1,950.45",6,6,0,0,0,0,69,69,75,75,"2,080","2,025","£5,914,934.00","£383,674.44","£8,593.28","£98,982.29","£1,508,189.00","£686,922.30","£8,601,295.31","£332,205.34",£0.00,"£332,205.34","£8,933,500.65",
Skills Funding Agency (SFA),Executive agency,"Department for Business, Innovation & Skills (BIS)",70,66.92,28,26.85,611,593.36,111,110.65,21,21,0,0,841,818.78,7,7,0,0,30,30,0,0,37,37,878,856,"£2,734,149.06","£31,432.73",£0.00,"£1,076.39","£584,197.33","£303,175.30","£3,654,030.81","£22,341.00",£0.00,"£22,341.00","£3,676,371.81",
Student Loans Company Ltd,Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)","2,074","1,954.20",715,682.32,125,121.69,19,18.87,5,5,6,0.85,"2,944","2,782.92",2,2,0,0,22,22,0,0,24,24,"2,968","2,807","£4,998,302.73","£172,293.25","£18,226.75","£114,466.93","£535,069.11","£438,673.71","£6,277,032.48","£245,449.00","£11,700.00","£257,149.00","£6,534,181.48",
UK Atomic Energy Authority (UKAEA),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",52,48.66,85,81.97,372,365.66,143,139.6,9,9,21,21,682,665.89,4,4,0,0,335,335,0,0,339,339,"1,021","1,005","£2,382,429.64",£0.00,"£80,000.00","£44,445.81","£341,405.03","£190,402.73","£3,038,683.21","£1,273,074.00",£0.00,"£1,273,074.00","£4,311,757.21",Allowances included within Salary costs. Non Consolidated performance pay is accrued during year.
UK Commission for Employment & Skills (UKCES),Executive non-departmental public body,"Department for Business, Innovation & Skills (BIS)",12,12,17,16.5,48,45.7,12,12,3,3,0,0,92,89.2,0,0,0,0,3,2.6,0,0,3,3,95,92,"£305,613.98",£0.00,£0.00,£0.00,"£61,381.02","£32,505.60","£399,500.60","£14,001.60",£0.00,"£14,001.60","£413,502.20",
UK Space Agency,Executive agency,"Department for Business, Innovation & Skills (BIS)",3,3,6,6,30,29.6,36,33.85,5,4.7,0,0,80,77.15,3,3,0,0,3,1.28,0,0,6,4,86,81,"£259,928.04","£4,661.15",£300.00,£346.50,"£54,212.82","£27,835.12","£347,283.63","£25,324.88",£0.00,"£25,324.88","£372,608.51",
UK Trade & Investment (UKTI),Non-ministerial department,"Department for Business, Innovation & Skills (BIS)",36,34.9,79,76.7,263,259.1,194,191.8,21,21,0,0,593,583.5,18,18,2,2,94,94,11,11,125,125,718,709,"£2,001,990.07","£57,549.45","£1,700.00","£22,068.98","£437,421.60","£232,464.61","£2,753,194.71","£147,663.59","-£97,395.54","£50,268.05","£2,803,462.76",
