Organisation name,"Organisation 
type","Main, parent or 
sponsoring department: ",Payroll staff AO/AA Headcount,Payroll staff AO/AA Full-time Equivalent,Payroll staff EO Headcount,Payroll staff EO Full-time Equivalent,Payroll staff SEO/HEO Headcount,Payroll staff SEO/HEO Full-time Equivalent,Payroll staff Grade 6/7 Headcount,Payroll staff Grade 6/7 Full-time Equivalent,Payroll staff SCS Headcount,Payroll staff SCS Full-time Equivalent,"Payroll staff Other, unknown or unspecified Headcount","Payroll staff Other, unknown or unspecified Full-time Equivalent",Payroll staff Total Employees Headcount,Payroll staff Total Employees Full-time Equivalent,Non-payroll Staff Agency staff (clerical/admin) Headcount,Non-payroll Staff Agency staff (clerical/admin) Full-time Equivalent,Non-payroll Staff Intermin Managers Headcount,Non-payroll Staff Interim Managers Full-time Equivalent,Non-payroll Staff Specialist Contractors Headcount,Non-payroll Staff Specialist Contractors Full-time Equivalent,Non-payroll Staff Consultants/Consultancy Headcount,Non-payroll Staff Consultants/Consultancy Full-time Equivalent,Non-payroll Staff Total Employees Headcount,Non-payroll Staff Total Employees Full-time Equivalent,Grand Total (workforce numbers) Headcount,Grand Total (workforce numbers) Full-time Equivalent,Payroll Staff Costs Salary,Payroll Staff Costs Allowances,Payroll Staff Costs Non-consolidated performance payments,Payroll Staff Costs Overtime,Payroll Staff Costs Employer pension contributions,Payroll Staff Costs Employer national insurance contributions,Payroll Staff Costs Total paybill for payroll staff,"Non-payroll Staff Total cost of contingent labour: agency (clerical and admin) staff, interim managers and specialist contractors",Non-payroll Staff Total cost of consultants/consultancy,Non-payroll Staff Total non-payroll (CCL) staff costs,Grand Total paybill/staffing (payroll and non-payroll) costs,Comments
NHS Blood & Transplant,Special Health Authority,Department of Health,1956,1580.53,1127,1034.77,1575,1453.32,556,540.06,65,62.7,47,44.1,"5,326","4,715",32,32,3,3,8,8,0,0,43,43,"5,369","4,758","£13,194,761.59","£905,296.59",£0.00,"£295,481.52","£1,865,575.83","£1,472,213.46","£17,733,328.99","£135,135.66",,"£135,135.66","£17,868,464.65",
NHS Business Services Authority,Special Health Authority,Department of Health,1891,1668.51,651,618.51,417,408.83,223,210.24,91,88.17,,,"3,273","2,994",87,87,,,,,27,27,114,114,"3,387","3,108","£6,338,511.38","£11,963.70","£114,432.73","£37,489.83","£828,150.79","£571,120.57","£7,901,669.00","£748,230.62",,"£748,230.62","£8,649,899.62",
NHS England,Special Health Authority,Department of Health,446,402.7831,549,522.2467,1511,1447.5664,2735,2625.9086,766,718.7016,172,90.8587,"6,179","5,808",283,274.73331,89,47.5368,,,,,372,322.27011,"6,551","6,130","£26,283,244.09",,,,"£3,336,111.10","£3,008,635.27","£32,627,990.46","£1,679,427.89",,"£1,679,427.89","£34,307,418.35","•Decrease in WTE of on payroll workers by 44.4 in January; overall fixed term contracts decreased by 25.8 WTE compared to December 2019.
• There are a total of 390 off payroll workers. Of these there are 372 OPWs are recorded on ESR. There are 18 OPWs where we are awaiting information from these workers to be added on to ESR.
Decrease in pay expenditure appropriate with reduction of posts and banding in month for on payroll workers."
NHS Litigation Authority,Special Health Authority,Department of Health,12,11,57.5,55.56,123,118.14,147.5,139.2599,8,8,0,0,348,332,14,13.6,0,0,0,0,0,0,14,13.6,362,346,"£1,249,676.08","£149,028.01",£0.00,£545.66,"£161,126.69","£156,561.74","£1,716,938.18","£86,445.10",,"£86,445.10","£1,803,383.28",
NHS Trust Development Authority,Special Health Authority,Department of Health,14,12,162,154.19,275,265.24,616,589.97,501,481.53,32,30.5,"1,600","1,533",,,,,,,,,0,0,"1,600","1,533","£7,653,017.00","£376,152.00",£0.00,£824.00,"£998,034.00","£949,678.00","£9,977,705.00","£488,591.24",,"£488,591.24","£10,466,296.24",
Public Health England,Executive Agency,Department of Health,760,668.37,765,717.5,2116,1981.28,1536,1443.74,399,351.7,4,4,"5,580","5,167",81,77.2,0,0,37,25.21,0,0,118,102.41,"5,698","5,269","£12,642,968.88","£6,022,679.17",£0.00,"£106,557.80","£4,423,265.14","£2,169,573.86","£25,365,044.85","£663,212.88",,"£663,212.88","£26,028,257.73","Specialist Contractors includes inward Secondees working >0.5wte.
The costs for secondees is not included in the Non-payroll staff figures."
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
